2019-05-21 23:24:47 iter:344, accuracy=25.39%
2019-05-21 23:24:53 iter:345, accuracy=24.02%
2019-05-21 23:24:59 iter:346, accuracy=21.29%
2019-05-21 23:25:05 iter:347, accuracy=24.8%
2019-05-21 23:25:11 iter:348, accuracy=25.98%
2019-05-21 23:25:17 iter:349, accuracy=23.05%
2019-05-21 23:25:23 iter:350, accuracy=22.85%
2019-05-21 23:25:29 iter:351, accuracy=25.39%
2019-05-21 23:25:35 iter:352, accuracy=24.22%
2019-05-21 23:25:41 iter:353, accuracy=25.0%
2019-05-21 23:25:47 iter:354, accuracy=26.56%
2019-05-21 23:25:54 iter:355, accuracy=24.8%
2019-05-21 23:26:00 iter:356, accuracy=24.22%
2019-05-21 23:26:06 iter:357, accuracy=24.8%
2019-05-21 23:26:13 iter:358, accuracy=26.17%
2019-05-21 23:26:20 iter:359, accuracy=25.0%
2019-05-21 23:26:27 iter:360, accuracy=21.09%
2019-05-21 23:26:34 iter:361, accuracy=27.15%
2019-05-21 23:26:41 iter:362, accuracy=23.44%
2019-05-21 23:26:47 iter:363, accuracy=29.3%
2019-05-21 23:26:54 iter:364, accuracy=28.12%
2019-05-21 23:27:01 iter:365, accuracy=27.34%
2019-05-21 23:27:08 iter:366, accuracy=24.22%
2019-05-21 23:27:15 iter:367, accuracy=22.66%
2019-05-21 23:27:22 iter:368, accuracy=20.9%
2019-05-21 23:27:29 iter:369, accuracy=26.95%
2019-05-21 23:27:36 iter:370, accuracy=24.61%
2019-05-21 23:27:43 iter:371, accuracy=22.07%
2019-05-21 23:27:50 iter:372, accuracy=24.41%
2019-05-21 23:27:58 iter:373, accuracy=22.66%
2019-05-21 23:28:06 iter:374, accuracy=28.32%
2019-05-21 23:28:14 iter:375, accuracy=24.41%
2019-05-21 23:28:22 iter:376, accuracy=24.02%
2019-05-21 23:28:31 iter:377, accuracy=25.39%
2019-05-21 23:28:40 iter:378, accuracy=26.56%
2019-05-21 23:28:49 iter:379, accuracy=23.24%
2019-05-21 23:28:59 iter:380, accuracy=23.63%
2019-05-21 23:29:09 iter:381, accuracy=28.32%
2019-05-21 23:29:20 iter:382, accuracy=25.78%
2019-05-21 23:29:33 iter:383, accuracy=27.54%
2019-05-21 23:29:47 iter:384, accuracy=24.8%
2019-05-21 23:30:05 iter:385, accuracy=22.46%
2019-05-21 23:30:27 iter:386, accuracy=23.24%
2019-05-21 23:31:09 iter:387, accuracy=24.41%
2019-05-21 23:34:43 iter:388, accuracy=23.63%
2019-05-21 23:34:49 iter:389, accuracy=27.93%
2019-05-21 23:34:55 iter:390, accuracy=25.2%
2019-05-21 23:35:00 iter:391, accuracy=25.78%
2019-05-21 23:35:06 iter:392, accuracy=22.66%
2019-05-21 23:35:12 iter:393, accuracy=24.41%
2019-05-21 23:35:17 iter:394, accuracy=25.0%
2019-05-21 23:35:22 iter:395, accuracy=27.15%
2019-05-21 23:35:29 iter:396, accuracy=27.15%
2019-05-21 23:35:34 iter:397, accuracy=25.2%
2019-05-21 23:35:40 iter:398, accuracy=22.46%
2019-05-21 23:35:45 iter:399, accuracy=24.22%
2019-05-21 23:35:50 iter:400, accuracy=28.71%
2019-05-21 23:35:56 iter:401, accuracy=25.39%
2019-05-21 23:36:02 iter:402, accuracy=26.76%
2019-05-21 23:36:07 iter:403, accuracy=23.63%
2019-05-21 23:36:13 iter:404, accuracy=26.17%
2019-05-21 23:36:18 iter:405, accuracy=24.8%
2019-05-21 23:36:24 iter:406, accuracy=26.76%
2019-05-21 23:36:30 iter:407, accuracy=26.56%
2019-05-21 23:36:36 iter:408, accuracy=29.3%
2019-05-21 23:36:42 iter:409, accuracy=25.59%
2019-05-21 23:36:47 iter:410, accuracy=23.83%
2019-05-21 23:36:53 iter:411, accuracy=27.73%
2019-05-21 23:36:59 iter:412, accuracy=30.08%
2019-05-21 23:37:04 iter:413, accuracy=28.12%
2019-05-21 23:37:10 iter:414, accuracy=26.17%
2019-05-21 23:37:15 iter:415, accuracy=28.12%
2019-05-21 23:37:21 iter:416, accuracy=26.37%
2019-05-21 23:37:26 iter:417, accuracy=29.1%
2019-05-21 23:37:32 iter:418, accuracy=27.54%
2019-05-21 23:37:38 iter:419, accuracy=25.0%
2019-05-21 23:37:44 iter:420, accuracy=25.39%
2019-05-21 23:37:49 iter:421, accuracy=28.91%
2019-05-21 23:37:55 iter:422, accuracy=19.53%
2019-05-21 23:38:01 iter:423, accuracy=29.49%
2019-05-21 23:38:06 iter:424, accuracy=24.02%
2019-05-21 23:38:12 iter:425, accuracy=25.98%
2019-05-21 23:38:18 iter:426, accuracy=27.15%
2019-05-21 23:38:23 iter:427, accuracy=24.61%
2019-05-21 23:38:29 iter:428, accuracy=27.15%
2019-05-21 23:38:35 iter:429, accuracy=28.12%
2019-05-21 23:38:41 iter:430, accuracy=25.78%
2019-05-21 23:38:47 iter:431, accuracy=28.91%
2019-05-21 23:38:53 iter:432, accuracy=25.59%
2019-05-21 23:38:59 iter:433, accuracy=24.41%
2019-05-21 23:39:04 iter:434, accuracy=25.98%
2019-05-21 23:39:11 iter:435, accuracy=27.34%
2019-05-21 23:39:16 iter:436, accuracy=20.9%
2019-05-21 23:39:22 iter:437, accuracy=25.98%
2019-05-21 23:39:28 iter:438, accuracy=26.95%
2019-05-21 23:39:34 iter:439, accuracy=27.34%
2019-05-21 23:39:41 iter:440, accuracy=24.8%
2019-05-21 23:39:47 iter:441, accuracy=22.46%
2019-05-21 23:39:53 iter:442, accuracy=23.63%
2019-05-21 23:39:59 iter:443, accuracy=25.59%
2019-05-21 23:40:05 iter:444, accuracy=27.34%
2019-05-21 23:40:11 iter:445, accuracy=26.56%
2019-05-21 23:40:17 iter:446, accuracy=28.52%
2019-05-21 23:40:23 iter:447, accuracy=26.17%
2019-05-21 23:40:30 iter:448, accuracy=26.37%
2019-05-21 23:40:35 iter:449, accuracy=24.61%
2019-05-21 23:40:42 iter:450, accuracy=28.52%
2019-05-21 23:40:48 iter:451, accuracy=22.85%
2019-05-21 23:40:55 iter:452, accuracy=24.61%
2019-05-21 23:41:01 iter:453, accuracy=26.37%
2019-05-21 23:41:07 iter:454, accuracy=28.71%
2019-05-21 23:41:14 iter:455, accuracy=24.61%
2019-05-21 23:41:20 iter:456, accuracy=22.46%
2019-05-21 23:41:26 iter:457, accuracy=24.41%
2019-05-21 23:41:33 iter:458, accuracy=26.76%
2019-05-21 23:41:40 iter:459, accuracy=28.91%
2019-05-21 23:41:47 iter:460, accuracy=21.88%
2019-05-21 23:41:54 iter:461, accuracy=25.2%
2019-05-21 23:42:01 iter:462, accuracy=24.02%
2019-05-21 23:42:08 iter:463, accuracy=28.52%
2019-05-21 23:42:15 iter:464, accuracy=28.71%
2019-05-21 23:42:22 iter:465, accuracy=25.98%
2019-05-21 23:42:29 iter:466, accuracy=27.93%
2019-05-21 23:42:37 iter:467, accuracy=23.83%
2019-05-21 23:42:44 iter:468, accuracy=27.93%
2019-05-21 23:42:52 iter:469, accuracy=26.76%
2019-05-21 23:43:00 iter:470, accuracy=25.39%
2019-05-21 23:43:08 iter:471, accuracy=25.0%
2019-05-21 23:43:16 iter:472, accuracy=26.37%
2019-05-21 23:43:24 iter:473, accuracy=23.44%
2019-05-21 23:43:32 iter:474, accuracy=25.59%
2019-05-21 23:43:41 iter:475, accuracy=24.02%
2019-05-21 23:43:50 iter:476, accuracy=26.37%
2019-05-21 23:44:01 iter:477, accuracy=28.71%
2019-05-21 23:44:10 iter:478, accuracy=26.76%
2019-05-21 23:44:21 iter:479, accuracy=27.73%
2019-05-21 23:44:33 iter:480, accuracy=29.88%
2019-05-21 23:44:46 iter:481, accuracy=25.39%
2019-05-21 23:45:03 iter:482, accuracy=24.22%
2019-05-21 23:45:22 iter:483, accuracy=25.98%
2019-05-21 23:45:51 iter:484, accuracy=23.05%
2019-05-21 23:46:54 iter:485, accuracy=26.37%
2019-05-21 23:50:40 iter:486, accuracy=26.76%
2019-05-21 23:50:45 iter:487, accuracy=23.44%
2019-05-21 23:50:50 iter:488, accuracy=26.56%
2019-05-21 23:50:56 iter:489, accuracy=25.78%
2019-05-21 23:51:01 iter:490, accuracy=27.93%
2019-05-21 23:51:07 iter:491, accuracy=26.76%
2019-05-21 23:51:12 iter:492, accuracy=29.88%
2019-05-21 23:51:18 iter:493, accuracy=29.1%
2019-05-21 23:51:24 iter:494, accuracy=26.95%
2019-05-21 23:51:29 iter:495, accuracy=25.2%
2019-05-21 23:51:35 iter:496, accuracy=23.63%
2019-05-21 23:51:41 iter:497, accuracy=26.76%
